Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nivel Educativo;Desempleada/o e inscrita/o como demandante de empleo en una ofic;Servicio demandado
abr-20;Mujer;Centro;Entre 26 y 35 años;Bachillerato;No;Autoempleo
abr-20;Hombre;;Entre 26 y 35 años;Bachillerato;Si;Orientacion
abr-20;Mujer;Carabanchel;Entre 46 y 55 años;FP Grado Superior;Si;Orientacion,Intermediacion,Autoempleo
abr-20;Mujer;;Entre 46 y 55 años;Graduado Escolar;Si;Orientacion,Intermediacion
abr-20;Hombre;Salamanca;Entre 26 y 35 años;Bachillerato;Si;Orientacion
abr-20;Hombre;;Entre 46 y 55 años;Estudios de Grado (Diplomado / Licenciado);Si;Orientacion,Intermediacion
abr-20;Mujer;;Entre 46 y 55 años;COU;Si;Orientacion,Intermediacion
abr-20;Mujer;Latina;Entre 36 y 45 años;Bachillerato;No;Orientacion,Intermediacion
abr-20;Mujer;SanBlasCanillejas;Entre 26 y 35 años;Estudios Postgrado;Si;Orientacion
abr-20;Mujer;PuenteVallecas;Entre 46 y 55 años;FP Grado Medio;No;Orientacion
abr-20;Mujer;;Entre 46 y 55 años;Estudios de Grado (Diplomado / Licenciado);Si;Intermediacion
abr-20;Mujer;Arganzuela;Entre 36 y 45 años;Estudios de Grado (Diplomado / Licenciado);Si;Intermediacion
abr-20;Mujer;Carabanchel;Entre 46 y 55 años;Estudios de Grado (Diplomado / Licenciado);Si;Intermediacion
abr-20;Mujer;Carabanchel;Entre 46 y 55 años;Estudios de Grado (Diplomado / Licenciado);Si;Intermediacion
abr-20;Mujer;Carabanchel;Entre 46 y 55 años;Estudios de Grado (Diplomado / Licenciado);Si;Intermediacion
abr-20;Mujer;Carabanchel;Entre 46 y 55 años;Estudios de Grado (Diplomado / Licenciado);Si;Intermediacion
abr-20;Mujer;Carabanchel;Entre 46 y 55 años;Estudios de Grado (Diplomado / Licenciado);Si;Intermediacion
abr-20;Hombre;PuenteVallecas;Entre 26 y 35 años;Estudios de Grado (Diplomado / Licenciado);Si;Orientacion
abr-20;Mujer;Vicalvaro;Entre 36 y 45 años;Estudios de Grado (Diplomado / Licenciado);No;Autoempleo
abr-20;Mujer;VillaVallecas;Menor de 25 años;FP Grado Superior;Si;Orientacion
abr-20;Mujer;Fuencarral;Entre 36 y 45 años;Estudios de Grado (Diplomado / Licenciado);Si;Orientacion
abr-20;Mujer;Fuencarral;Entre 46 y 55 años;Bachillerato;No;Intermediacion
abr-20;Mujer;PuenteVallecas;Menor de 25 años;Graduado Escolar;Si;Autoempleo
abr-20;Mujer;Hortaleza;Entre 36 y 45 años;Graduado Escolar;Si;Orientacion
